artigoEmPeriodico	 	2022	1932-7447	http://dx.doi.org/10.1021/acs.jpcc.1c10655	Al-Au Thin Films for Thermally Stable and Highly Sensitive Plasmonic Sensors	Journal of Physical Chemistry C	KREIDER, MOLLY KATE ; REHAN, ABDUL QADEER ; KENT, ROBERT. M. ; BEZERRA, ANIBAL T. ; REBELLO SOUSA DIAS, MARIAMA	A1	
artigoEmPeriodico	 	2022	1570-1808	http://dx.doi.org/10.2174/1570180819666220401142351	Triamcinolone as a potential inhibitor of SARS-CoV-2 main protease and cytokine storm: An in-silico study	Letters in Drug Design & Discovery	MISHRA, AMARESH ; QAIS, FAIZAN ABUL ; PATHAK, YAMINI ; Camps, Ihosvany ; TRIPATHI, VISHWAS	B1	
artigoEmPeriodico	 	2022	1806-9126	http://dx.doi.org/10.1590/1806-9126-rbef-2022-0004	Ondas gravitacionais de buracos negros coalescentes: um estudo quantitativo a partir de física básica	REVISTA BRASILEIRA DE ENSINO DE FÍSICA (ONLINE)	NASCIMENTO, N. L. N. S. ; CUZINATTO, R. R.	A1	
artigoEmPeriodico	 	2022	1570-1808	http://dx.doi.org/10.2174/1570180819666220622085659	Attacking the SARS-CoV-2 replication machinery with the Pathogen Box?s molecules	Letters in Drug Design & Discovery	OSORIO-MOGOLLÓN, CLEIDY ; OLIVOS-RAMÍREZ, GUSTAVO E. ; OTAZU, KEWIN ; CHENET-ZUTA, MANUEL E. ; ROPÓN-PALACIOS, GEORCKI ; DORES AGUIAR, CINTHIA DAS ; Camps, Ihosvany ; JIMENEZ-AVALOS, GABRIEL M. ; APARI-COSSIO, EDUARDO ; TORRES MOREIRA, NATALIA E. ; CÁRDENAS-CÁRDENAS, REYNA G.	B1	
artigoEmPeriodico	 	2022	2632-072X	http://dx.doi.org/10.1088/2632-072X/aca949	Visibility graphs of animal foraging trajectories	Journal Of Physics-Complexity	PAIVA, LETICIA R; ALVES, SIDINEY G ; LACASA, LUCAS ; DESOUZA, OG ; MIRAMONTES, OCTAVIO	C	
artigoEmPeriodico	 	2022	1381-1991	http://dx.doi.org/10.1007/s11030-022-10561-y	Targeting notch signaling pathway in breast cancer stem cells through drug repurposing approach	MOLECULAR DIVERSITY	PATHAK, YAMINI ; Camps, Ihosvany ; MISHRA, AMARESH ; TRIPATHI, VISHWAS	A3	
artigoEmPeriodico	 	2022	0378-4371	http://dx.doi.org/10.1016/j.physa.2022.128313	A complementary resource relation of concurrence and roughness for a two-qubit state	PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS	REIS, M. ; OLIVEIRA, Adélcio Carlos de	A1	
artigoEmPeriodico	 	2022	1476-9271	http://dx.doi.org/10.1016/j.compbiolchem.2022.107668	Glycosylation is key for enhancing drug recognition into spike glycoprotein of SARS-CoV-2	COMPUTATIONAL BIOLOGY AND CHEMISTRY	ROPÓN-PALACIOS, GEORCKI ; PÉREZ-SILVA, JHON ; ROJAS-HUMPIRE, RICARDO ; OLIVOS-RAMÍREZ, GUSTAVO E. ; CHENET-ZUTA, MANUEL ; CORNEJO-VILLANUEVA, VICTOR ; CARMEN-SIFUENTES, SHEYLA ; OTAZU, KEWIN ; RAMIREZ-DÍAZ, YARITZA L. ; CHOZO, KAROLYN VEGA ; Camps, Ihosvany	A3	
artigoEmPeriodico	 	2021	1463-9076	http://dx.doi.org/10.1039/d1cp02553h	Effective ?-electron number and Symmetry Perturbation Effect on the Two-photon Absorption of Oligofluorenes	PHYSICAL CHEMISTRY CHEMICAL PHYSICS	ABEGÃO, LUIS M.G. ; COCCA, LEANDRO ; MULATIER, JEAN-CHRISTOPHE ; PITRAT, DELPHINE ; ANDRAUD, CHANTAL ; MISOGUTI, LINO ; Mendonca, Cleber R. ; VIVAS, MARCELO GONCALVES ; BONI, LEONARDO DE	A1	
artigoEmPeriodico	 	2021	1434-6044	http://dx.doi.org/10.1140/epjc/s10052-021-09166-w	Supernova neutrino burst detection with the Deep Underground Neutrino Experiment	EUROPEAN PHYSICAL JOURNAL C	ABI, B. ; ACCIARRI, R. ; ACERO, M. A. ; ADAMOV, G. ; ADAMS, D. ; ADINOLFI, M. ; AHMAD, Z. ; AHMED, J. ; ALION, T. ; ALONSO MONSALVE, S. ; ALT, C. ; ANDERSON, J. ; ANDREOPOULOS, C. ; ANDREWS, M. P. ; ANDRIANALA, F. ; ANDRINGA, S. ; ANKOWSKI, A. ; ANTONOVA, M. ; ANTUSCH, S. ; Valdiviesso, G.	A2	
