artigoEmPeriodico	Adhimar Flavio Oliveira	2011	2010-1945	http://dx.doi.org/10.1142/s2010194511001358	ANALYSIS OF PRIMORDIAL NON-GAUSSIANITIES IN CMB DATA	INTERNATIONAL JOURNAL OF MODERN PHYSICS: CONFERENCE SERIES	GARCIA, MARCOS A. ; BERNUI, ARMANDO ; FERREIRA, THIAGO ; OLIVEIRA, ADHIMAR F. ; MORAES, ALISON DE O.	Qualis nao identificado	INTERNATIONAL JOURNAL OF MODERN PHYSICS: CONFERENCE SERIES
trabalhoCompletoEmCongresso	Adhimar Flavio Oliveira	2022	http://dx.doi.org/10.1109/SBMICRO55822.2022.9881048	Porous silicon photonic crystals: Influence of the etch-stop on the optical response	2022 36th Symposium on Microelectronics Technology (SBMICRO)	VILLANUEVA, J. L. M. ; Oliveira, A. F. ; HUANCA, D. R.		
trabalhoCompletoEmCongresso	Adhimar Flavio Oliveira	2021	http://dx.doi.org/10.1109/SBMicro50945.2021.9585756	Electrical characterization of Si-based/SiO /TiO heterostructures	2021 35th Symposium on Microelectronics Technology and Devices (SBMicro)	DA SILVA, M. P. C. ; Oliveira, A. F. ; HUANCA, D. R. ; DA SILVA, W. Y. A.		
trabalhoCompletoEmCongresso	Adhimar Flavio Oliveira	2019	http://dx.doi.org/10.1109/SBMicro.2019.8919289	Electrical properties of MPS/PANI heterojunction doped with erbium	2019 34th Symposium on Microelectronics Technology and Devices (SBMicro)	TOLEDO, ROSIMARA P. ; HUANCA, DANILO R. ; OLIVEIRA, ADHIMAR F. ; RUBINGER, RERO M. ; SILVA, MATHEUS J. ; FILHO, SEBASTIAO G. DOS SANTOS		
trabalhoCompletoEmCongresso	Adhimar Flavio Oliveira	2018		Optical characterization of graded porous silicon by XRR, GISAXS and SLIM	SEMINATEC	C. E. S. Dias ; D R Huanca ; A. F. OLIVEIRA		
trabalhoCompletoEmCongresso	Adhimar Flavio Oliveira	2018		Electrical characterization of MPS/SiO2/PANI heterostructure for sensors	SEMINATEC	R. P. Toledo ; YAMAMOTO, A. H. ; D R Huanca ; A. F. OLIVEIRA		
trabalhoCompletoEmCongresso	Adhimar Flavio Oliveira	2017	http://dx.doi.org/10.26678/ABCM.COBEM2017.COB17-2840	Duplex stainless steel production and study of stress relief treatment	24th ABCM International Congress of Mechanical Engineering	ANDRADE, BRUNO GONÇALVES ; SOUZA, FLAVIO ; ALBERGARIA, LEONARDO ; SALES PEREIRA MENDONÇA, CLAUDINEY ; OLIVEIRA, ADHIMAR FLAVIO ; RIBEIRO, VANDER ; SILVA, GILBERT		
trabalhoCompletoEmCongresso	Adhimar Flavio Oliveira	2014		O DESENVOLVIMENTO E ANÁLISE DE UM JOGO VIRTUAL PARA O ENSINO DE FÍSICA ATRAVÉS DE CONCEITOS DE ASTRONOMIA: CONTRIBUIÇÕES DA TEORIA DA APRENDIZAGEM SIGNIFICATIVA	ESUD 2014 ? XI Congresso Brasileiro de Ensino Superior a Dist	CAMPOS, F. C. C. ; OLIVEIRA, A F ; SILVA, J. R. N.		
trabalhoCompletoEmCongresso	Adhimar Flavio Oliveira	2014		O GUIA DO FÍSICO DAS GALÁXIAS: UM JOGO VIRTUAL PARA O ENSINO DE FÍSICA POR MEIO DE CONCEITOS DE ASTRONOMIA	III Simpósio Nacional de Educação em Astronomia	CAMPOS, F. C. C. ; OLIVEIRA, A.F. ; SILVA, J. R. N. ; Agenor Pina ; Newton Figueiredo		
trabalhoCompletoEmCongresso	Adhimar Flavio Oliveira	2011		As Disciplinas de Física de um Curso de Licenciatura em Física, Modalidade a Distância	XIX Simpósio Nacional de Ensino de Física ? SNEF 2011	LEMES, T. C. ; Oliveira, A. F. ; Agenor Pina ; Ana Claudia Monteiro Carvalho ; Antonio Luiz Fernandes Marques ; Fabricio Barone ; Luciano Fernandes Silva ; Leonardo dos Santos Cunha ; Mikael Frank Rezende Junior ; Guedes, M. ; Newton Figueiredo		
resumoExpandidoEmCongresso	Adhimar Flavio Oliveira	2019	Optical, electrical and structural properties of MPS/PANI:Er	XIV Workshop on Semiconductors and Micro & Nano Technology, 2019, Campinas. Optical, electrical and structural properties of MPS/PANI:Er. Campinas: Biblioteca/Unicamp	R. P. Toledo ; D R Huanca ; OLIVEIRA, A.F.		
resumoExpandidoEmCongresso	Adhimar Flavio Oliveira	2018	Ferramentas para o ensino de Astronomia	I Simpósio Internacional de Educação em Ciências e III Semana das Licenciaturas, 2018, Itajubá. I Simpósio Internacional de Educação em Ciências e III Semana das Licenciaturas	DIAS, R. S. ; A. F. OLIVEIRA		
