ISSN	Título	Estrato	Classificação
1835-2707	AUSTRALIAN JOURNAL OF CROP SCIENCE (ONLINE)	B2	Atualizado
2639-0213	AVS QUANTUM SCIENCE	C	Atualizado
2190-4286	BEILSTEIN JOURNAL OF NANOTECHNOLOGY	A2	Atualizado
1878-8181	BIOCATALYSIS AND AGRICULTURAL BIOTECHNOLOGY	A3	Atualizado
0006-291X	BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS (PRINT)	A2	Atualizado
1369-703X	BIOCHEMICAL ENGINEERING JOURNAL	A1	Atualizado
0264-6021	BIOCHEMICAL JOURNAL (LONDON. 1984)	A1	Atualizado
2405-5808	BIOCHEMISTRY AND BIOPHYSICS REPORTS	A4	Atualizado
0006-2960	BIOCHEMISTRY (EASTON)	A1	Atualizado
0005-2736	BIOCHIMICA ET BIOPHYSICA ACTA. BIOMEMBRANES	A1	Atualizado
0304-4165	BIOCHIMICA ET BIOPHYSICA ACTA. G, GENERAL SUBJECTS (PRINT)	A1	Atualizado
0925-4439	BIOCHIMICA ET BIOPHYSICA ACTA. MOLECULAR BASIS OF DISEASE	A2	Atualizado
1570-9639	BIOCHIMICA ET BIOPHYSICA ACTA. PROTEINS AND PROTEOMICS	A2	Atualizado
0300-9084	BIOCHIMIE (PARIS. PRINT)	A2	Atualizado
0197-8462	BIOELECTROMAGNETICS	A3	Atualizado
0892-7014	BIOFOULING (NEW YORK. PRINT)	A1	Atualizado
1759-7269	BIOFUELS	A4	Atualizado
2027-1034	BIO-GRAFIA: ESCRITOS SOBRE LA BIOLOGIA Y SU ENSENANZA	A3	Atualizado
1177-9322	BIOINFORMATICS AND BIOLOGY INSIGHTS	A2	Atualizado
1367-4803	BIOINFORMATICS (OXFORD. PRINT)	A1	Atualizado
1934-8630	BIOINTERPHASES	A2	Atualizado
0006-3223	BIOLOGICAL PSYCHIATRY (1969)	A1	Atualizado
0163-4984	BIOLOGICAL TRACE ELEMENT RESEARCH	A3	Atualizado
2079-7737	BIOLOGY	A1	Atualizado
1525-7797	BIOMACROMOLECULES	A1	Atualizado
0961-9534	BIOMASS & BIOENERGY	A1	Atualizado
2190-6815	BIOMASS CONVERSION AND BIOREFINERY	A4	Atualizado
1679-365X	BIOMATEMÁTICA (UNICAMP)	C	Atualizado
2047-4830	BIOMATERIALS SCIENCE	A1	Atualizado
2314-6133	BIOMED RESEARCH INTERNATIONAL	A3	Atualizado
2299-3932	BIOMEDICAL GLASSES	A4	Atualizado
2080-2234	BIOMEDICAL HUMAN KINETICS	B1	Atualizado
2574-1241	BIOMEDICAL JOURNAL OF SCIENTIFIC & TECHNICAL RESEARCH	C	Atualizado
2156-7085	BIOMEDICAL OPTICS EXPRESS	A2	Atualizado
2057-1976	BIOMEDICAL PHYSICS & ENGINEERING EXPRESS	A4	Atualizado
1746-8094	BIOMEDICAL SIGNAL PROCESSING AND CONTROL (PRINT)	A1	Atualizado
0753-3322	BIOMEDICINE & PHARMACOTHERAPY	A2	Atualizado
1950-6007	BIOMEDICINE & PHARMACOTHERAPY (ONLINE)	A2	Atualizado
0013-5585	BIOMEDIZINISCHE TECHNIK (BERLIN. ZEITSCHRIFT)	A4	Atualizado
0966-0844	BIOMETALS (OXFORD)	A1	Atualizado
2313-7673	BIOMIMETICS	B1	Atualizado
2218-273X	BIOMOLECULES	B2	Atualizado
2191-1630	BIONANOSCIENCE	B2	Atualizado
0960-894X	BIOORGANIC & MEDICINAL CHEMISTRY LETTERS (PRINT)	A2	Atualizado
0968-0896	BIOORGANIC & MEDICINAL CHEMISTRY (PRINT)	A2	Atualizado
0045-2068	BIOORGANIC CHEMISTRY (PRINT)	A2	Atualizado
1081-8693	BIOPHOTONICS INTERNATIONAL	B4	Atualizado
0301-4622	BIOPHYSICAL CHEMISTRY (PRINT)	A3	Atualizado
0006-3495	BIOPHYSICAL JOURNAL (PRINT)	A1	Atualizado
1867-2450	BIOPHYSICAL REVIEWS	A1	Atualizado
1097-0282	BIOPOLYMERS PEPTIDE SCIENCE	A2	Atualizado
1615-7591	BIOPROCESS AND BIOSYSTEMS ENGINEERING (PRINT)	A3	Atualizado
0960-8524	BIORESOURCE TECHNOLOGY	A1	Atualizado
2589-014X	BIORESOURCE TECHNOLOGY REPORTS	B1	Atualizado
1981-3163	BIOSCIENCE JOURNAL (ONLINE)	B2	Atualizado
2079-6374	BIOSENSORS	A4	Atualizado
0956-5663	BIOSENSORS & BIOELECTRONICS	A1	Atualizado
1754-6834	BIOTECHNOLOGY FOR BIOFUELS	A1	Atualizado
0141-5492	BIOTECHNOLOGY LETTERS	A3	Atualizado
1520-6033	BIOTECHNOLOGY PROGRESS	A3	Atualizado
2215-017X	BIOTECHNOLOGY REPORTS	A2	Atualizado
0006-3606	BIOTROPICA (LAWRENCE, KS)	A2	Atualizado
